temp,rep,dil_fac,vol_plated,count
25,1,0.0001,10,8
25,1,0.0001,10,18
25,1,0.0001,10,4
25,2,0.0001,10,12
25,2,0.0001,10,14
25,2,0.0001,10,16
25,3,0.0001,10,27
25,3,0.0001,10,21
25,3,0.0001,10,33
25,4,0.0001,10,22
25,4,0.0001,10,31
25,4,0.0001,10,32
25,5,0.0001,10,66
25,5,0.0001,10,110
25,5,0.0001,10,91
25,6,0.0001,10,31
25,6,0.0001,10,25
25,6,0.0001,10,29
15,1,0.01,10,22
15,1,0.01,10,19
15,1,0.01,10,11
15,2,0.01,10,8
15,2,0.01,10,15
15,2,0.01,10,16
15,3,0.01,10,36
15,3,0.01,10,30
15,3,0.01,10,32
15,4,0.01,10,14
15,4,0.01,10,8
15,4,0.01,10,12
15,5,0.01,10,6
15,5,0.01,10,5
15,5,0.01,10,8
15,6,0.01,10,37
15,6,0.01,10,59
15,6,0.01,10,47
33,1,1,50,7
33,1,1,50,12
33,1,1,50,11
33,2,1,50,3
33,2,1,50,1
33,2,1,50,4
33,3,1,50,5
33,3,1,50,2
33,3,1,50,2
33,4,1,50,0
33,4,1,50,4
33,4,1,50,4
33,5,1,50,0
33,5,1,50,3
33,5,1,50,0
33,6,1,50,0
33,6,1,50,0
33,6,1,50,1
30,1,1,50,97
30,1,1,50,103
30,1,1,50,92
30,2,1,50,16
30,2,1,50,26
30,2,1,50,18
30,3,1,50,14
30,3,1,50,8
30,3,1,50,10
30,4,1,50,9
30,4,1,50,11
30,4,1,50,10
30,5,1,50,3
30,5,1,50,5
30,5,1,50,1
30,6,1,50,21
30,6,1,50,27
30,6,1,50,17
27,1,0.0001,10,10
27,1,0.0001,10,10
27,1,0.0001,10,4
27,2,0.00001,10,25
27,2,0.00001,10,34
27,2,0.00001,10,30
27,3,0.00001,10,41
27,3,0.00001,10,50
27,3,0.00001,10,36
27,4,0.00001,10,33
27,4,0.00001,10,24
27,4,0.00001,10,22
27,5,0.00001,10,23
27,5,0.00001,10,26
27,5,0.00001,10,18
27,6,0.00001,10,30
27,6,0.00001,10,25
27,6,0.00001,10,25
35,1,1,100,3
35,1,1,100,5
35,1,1,100,2
35,2,1,100,2
35,2,1,100,3
35,2,1,100,1
35,3,1,100,0
35,3,1,100,3
35,3,1,100,1
35,4,1,100,4
35,4,1,100,0
35,4,1,100,3
35,5,1,100,1
35,5,1,100,1
35,5,1,100,4
20,1,0.001,10,57
20,1,0.001,10,43
20,1,0.001,10,80
20,2,0.01,10,2
20,2,0.01,10,6
20,2,0.01,10,13
20,3,0.01,10,0
20,3,0.01,10,0
20,3,0.01,10,0
20,4,0.001,10,8
20,4,0.001,10,9
20,4,0.001,10,9
20,5,0.01,10,108
20,5,0.01,10,129
20,5,0.01,10,113
20,6,0.01,10,111
20,6,0.01,10,143
20,6,0.01,10,147
inoculate,1,0.0001,10,47
inoculate,1,0.0001,10,48
inoculate,1,0.0001,10,26
inoculate,1,0.0001,10,44
inoculate,1,0.0001,10,34
22.5,1,0.0001,10,54
22.5,1,0.0001,10,66
22.5,1,0.0001,10,55
22.5,2,0.0001,10,62
22.5,2,0.0001,10,60
22.5,2,0.0001,10,56
22.5,3,0.0001,10,91
22.5,3,0.0001,10,109
22.5,3,0.0001,10,113
22.5,4,0.0001,10,114
22.5,4,0.0001,10,103
22.5,4,0.0001,10,118
22.5,5,0.0001,10,60
22.5,5,0.0001,10,51
22.5,5,0.0001,10,43
22.5,6,0.0001,10,42
22.5,6,0.0001,10,59
22.5,6,0.0001,10,36
26,1,0.00001,10,1
26,1,0.00001,10,4
26,1,0.00001,10,1
26,2,0.00001,10,3
26,2,0.00001,10,5
26,2,0.00001,10,6
26,3,0.00001,10,6
26,3,0.00001,10,4
26,3,0.00001,10,4
26,4,0.00001,10,2
26,4,0.00001,10,2
26,4,0.00001,10,1
26,5,0.00001,10,3
26,5,0.00001,10,4
26,5,0.00001,10,5
26,6,0.00001,10,2
26,6,0.00001,10,1
26,6,0.00001,10,1
28,1,0.00001,10,3
28,1,0.00001,10,3
28,1,0.00001,10,5
28,2,0.00001,10,3
28,2,0.00001,10,6
28,2,0.00001,10,6
28,3,0.00001,10,10
28,3,0.00001,10,12
28,3,0.00001,10,4
28,4,0.00001,10,4
28,4,0.00001,10,6
28,4,0.00001,10,3
28,5,0.00001,10,8
28,5,0.00001,10,4
28,5,0.00001,10,6
28,6,0.00001,10,3
28,6,0.00001,10,2
28,6,0.00001,10,3